,Unnamed: 0,Season,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,BsR,Off,Def,WAR,playerid,clusters
6895,6895,1971,133,529,12,53,62,4,0.068,0.117,0.121,0.294,0.276,0.329,0.397,0.726,0.328,101,0.5,1.2,2.0,2.2,1004243,0
6896,6896,2017,133,541,17,58,63,8,0.089,0.229,0.158,0.294,0.245,0.323,0.402,0.725,0.313,89,5.0,-2.5,5.8,2.2,12984,1
6897,6897,2007,151,601,15,60,60,14,0.068,0.228,0.164,0.303,0.247,0.314,0.411,0.725,0.316,87,2.7,-7.1,8.9,2.2,5209,1
6898,6898,1944,153,667,5,82,52,18,0.084,0.043,0.094,0.291,0.283,0.347,0.377,0.724,0.343,105,3.2,7.2,-6.5,2.2,1007841,0
6899,6899,1980,162,667,14,71,78,1,0.054,0.093,0.154,0.273,0.264,0.307,0.417,0.724,0.318,98,-0.7,-2.2,3.0,2.2,1007043,0
6900,6900,2007,157,703,7,101,58,10,0.091,0.118,0.112,0.289,0.26,0.351,0.372,0.723,0.323,92,3.6,-3.8,2.3,2.2,1825,1
6901,6901,1947,150,627,5,60,69,5,0.113,0.096,0.107,0.29,0.265,0.351,0.371,0.722,0.342,93,0.9,-4.4,4.5,2.2,1011335,0
6902,6902,1979,132,549,6,57,54,30,0.117,0.095,0.113,0.278,0.262,0.348,0.374,0.722,0.323,105,0.9,4.4,-0.8,2.2,1002100,0
6903,6903,1988,145,533,16,58,73,8,0.071,0.122,0.163,0.259,0.252,0.306,0.414,0.72,0.319,102,-1.0,0.3,4.2,2.2,1009818,0
6904,6904,1982,155,640,9,62,68,21,0.094,0.105,0.102,0.296,0.275,0.342,0.377,0.719,0.319,107,-0.1,5.0,-5.0,2.2,1002841,0
6905,6905,1935,142,583,5,73,46,8,0.074,0.055,0.107,0.289,0.278,0.334,0.385,0.719,0.333,96,1.4,-1.7,4.5,2.2,1010957,0
6906,6906,2011,150,649,20,69,58,19,0.114,0.247,0.157,0.286,0.232,0.33,0.389,0.719,0.319,100,4.2,3.9,-2.7,2.2,1327,1
6907,6907,2018,161,708,15,91,60,19,0.134,0.219,0.109,0.315,0.253,0.356,0.362,0.718,0.32,100,0.1,-0.3,-0.9,2.2,10556,1
6908,6908,1977,153,709,0,91,43,21,0.073,0.047,0.086,0.304,0.289,0.343,0.375,0.718,0.322,96,-0.1,-3.5,1.7,2.2,1002041,0
6909,6909,1943,148,640,2,76,53,5,0.063,0.038,0.082,0.305,0.294,0.341,0.376,0.717,0.343,105,0.7,4.1,-2.9,2.2,1013521,0
6910,6910,1991,153,659,12,74,58,23,0.074,0.202,0.118,0.33,0.271,0.328,0.389,0.717,0.322,106,1.4,5.8,-6.2,2.2,1011400,0
6911,6911,1920,155,651,11,69,94,6,0.063,0.141,0.131,0.3,0.266,0.32,0.397,0.717,0.336,106,-3.4,0.8,0.3,2.2,1006799,0
6912,6912,1982,144,643,3,85,36,16,0.117,0.054,0.069,0.294,0.28,0.368,0.349,0.717,0.33,105,-0.3,3.7,-3.9,2.2,1010694,0
6913,6913,2016,138,565,14,79,52,2,0.071,0.204,0.145,0.299,0.252,0.319,0.396,0.715,0.312,96,1.6,-1.4,4.9,2.2,1679,1
6914,6914,1945,143,628,10,81,56,0,0.083,0.064,0.124,0.27,0.264,0.326,0.388,0.714,0.339,110,-1.9,5.1,-4.1,2.2,1011085,0
6915,6915,2004,130,564,2,76,47,5,0.055,0.092,0.067,0.328,0.298,0.348,0.365,0.713,0.317,95,1.4,-2.1,6.0,2.2,1021,1
6916,6916,2005,146,540,16,58,71,4,0.063,0.143,0.16,0.264,0.252,0.301,0.412,0.713,0.308,84,0.5,-10.3,14.2,2.2,454,1
6917,6917,2001,153,664,4,82,41,29,0.065,0.09,0.072,0.312,0.285,0.355,0.357,0.712,0.321,95,4.0,-0.5,0.1,2.2,10,1
6918,6918,1943,146,614,4,79,44,12,0.125,0.109,0.099,0.29,0.259,0.354,0.358,0.712,0.345,105,2.1,5.3,-3.1,2.2,1011315,0
6919,6919,2009,154,677,7,81,54,21,0.075,0.137,0.085,0.323,0.284,0.343,0.369,0.712,0.319,87,1.3,-9.6,10.3,2.2,3811,1
6920,6920,1961,160,668,17,99,63,22,0.091,0.099,0.128,0.264,0.257,0.327,0.384,0.711,0.321,88,2.2,-7.8,9.0,2.2,1001600,0
6921,6921,1997,153,639,11,86,43,17,0.102,0.131,0.141,0.267,0.242,0.326,0.383,0.709,0.317,86,-0.9,-12.4,14.1,2.2,1008686,0
6922,6922,1997,148,554,17,63,69,7,0.065,0.159,0.153,0.27,0.251,0.305,0.404,0.709,0.31,83,0.1,-11.7,16.6,2.2,1004422,0
6923,6923,1927,144,623,1,70,54,32,0.103,0.029,0.099,0.274,0.266,0.345,0.364,0.709,0.336,93,6.0,0.8,1.5,2.2,1001944,0
6924,6924,2017,144,570,14,58,77,3,0.074,0.198,0.151,0.293,0.253,0.305,0.403,0.708,0.301,86,-1.6,-11.8,15.0,2.2,5343,1
6925,6925,1959,129,529,17,65,55,7,0.087,0.14,0.159,0.249,0.237,0.311,0.396,0.707,0.316,96,-0.4,-3.2,9.8,2.2,1012090,0
6926,6926,2002,145,605,3,59,44,15,0.081,0.048,0.073,0.293,0.283,0.35,0.356,0.706,0.318,91,-0.9,-7.8,10.2,2.2,993,1
6927,6927,1992,142,549,18,52,66,3,0.051,0.182,0.151,0.285,0.257,0.297,0.409,0.706,0.317,98,-1.4,-2.5,6.1,2.2,1005525,0
